,1m,1w
AAL,14.88442185913588,0.2719310383020715
AAPL,-5.9735211597334,-0.9015689135971071
ABNB,5.216536012031816,0.4935348577259886
ACAD,54.17807973108998,4.454761140642318
ACDC,78.31325121240154,10.944527896903661
ACGL,3.0822652840085856,1.6364001668396009
ACHC,-3.077352199022215,-1.219947212296883
ACLX,-2.3864441804338385,-2.775644201818021
ACMR,17.103235958626893,1.1534973867463139
ACVA,11.980947806876856,-1.8496387930125036
ADBE,10.115203894738855,-0.3427178713043939
ADI,10.40426788929033,1.5429643681739362
ADMA,-16.407558422170638,-1.3144811093957167
ADP,7.456755851562747,0.4243807796845242
ADPT,27.581524089443505,6.221721507254182
ADSK,8.375570180748634,0.7525427866790254
AEP,-4.835204325917973,0.38310351469257964
AFRM,4.26045582414061,5.942413262962804
AGNC,2.718004226408117,2.9511834599757196
AKAM,-5.7366645136209025,-1.4564145607802808
AKRO,4.385003230072494,-2.77721171421289
ALAB,49.70908770614903,3.685045982674883
ALGM,35.86785664419455,0.0
ALHC,-15.773133357365355,3.0020733367004815
ALKS,5.9263117712115125,1.4143133284510285
AMAT,6.841995446203519,0.02803274840993289
AMD,16.22495985261279,2.199437791283718
AMGN,-2.2094937868272333,3.714603284382868
AMKR,6.131803140643401,-1.015492442576672
AMPL,35.60066385697665,1.2323315569890885
AMZN,11.75035158014352,1.472176339005656
APA,10.521230883018344,2.5985631534648856
APLD,58.60572393649033,-3.7339600554533567
APLS,-9.656427020528673,-2.39033255340871
APP,43.66993965834726,10.085500794523282
ARCC,6.122939975756546,1.8819645477784617
ARHS,10.305342608402345,5.602923702918719
ARM,14.405955489825848,0.9282154699666945
ARQT,-7.833670242828126,0.600291212763765
ARRY,42.15480707199353,-1.3788068509804956
ARWR,22.82216734532711,10.851196136224845
ASML,12.740988046307711,1.6875927897927665
ASO,8.227172104601266,-2.8585058981054186
ASTS,3.403709378238836,-1.6796388774069435
ATAT,31.17839882456131,-2.434568539869506
ATEC,12.750461116316655,-0.8012774957000597
AUPH,-2.730575655888372,-3.0834353122862304
AUR,-13.466849937234002,3.897174933675749
AVDX,20.602708083111132,0.7708197992598781
AVGO,25.487084929942128,4.769442231123165
AVPT,12.966354020929971,1.987844786692921
AZN,-1.7272570663825333,0.8577643026340445
BBIO,-13.699168364187035,0.409458042265502
BCRX,23.107344498829622,4.860443674243589
BEAM,-18.213753198852338,-5.452439365065316
BGC,2.758906526280168,-1.89718575318075
BIDU,-3.7747693611090094,0.5174230524239323
BIIB,8.325075717391805,3.8479813879022084
BILI,9.028570992606026,3.978199057551515
BKR,5.362791726578918,1.2981647229851094
BMRN,-8.384362172601008,0.5861061238156996
BRKR,-6.847733688051284,2.6879444334864915
BSY,11.74644536158475,0.8180423886904996
BTDR,53.18704613272595,-2.78514640861302
BTSG,33.428399734559754,2.0506078175829083
BULL,-9.00000075524962,-6.371109573929398
BZ,15.03268079779281,2.0289877186650815
CAKE,11.997661422653326,7.2206355380559595
CAR,27.85275161044638,0.5774949513170117
CART,15.44246663741651,-2.0837753937338706
CCCS,-6.101517495597753,-1.1931874276684105
CCEP,0.2783995204718622,1.659330941945636
CDNS,-2.3132948161729434,-8.141243094678801
CDW,13.709671497817643,-0.44048475448675434
CEG,35.53443778342444,3.7585297033605984
CELH,2.0595001131533515,0.08414804491690808
CENX,-3.534429793413568,2.2609844432796637
CERT,-18.470415074715156,-1.5679386644505091
CFLT,-1.469972235700232,7.172223566011865
CG,18.837787963616623,2.588344627458711
CGNX,12.698714986344111,2.676484311626442
CGON,-2.89532543126504,1.552793536398335
CHA,,
CHRW,7.038779077980586,-1.0567723565494742
CHTR,1.0182261269604815,-3.434729545003471
CHX,1.305431185301416,-0.22449104153380103
CIFR,16.147371464356926,-7.277309863684008
CLBT,-15.234973004126967,0.3889918469116931
CLMT,36.17924434088781,2.0862805454828113
CLOV,-8.238238215776382,-4.8810970918239365
CLSK,9.299876991189077,-9.525834477114472
CMCSA,-0.35936232094207404,-1.482802266232342
CME,3.0568794684469394,1.2588609194924645
COIN,23.510026887326603,-7.8545756390399655
COLB,5.619983160544733,0.08453278906449144
COMM,63.37165178877363,11.295082827225823
COO,-1.9674253712171814,0.9624197013472182
CORT,8.270728884232849,2.2801954183924464
CORZ,33.33332940874785,-0.27700584656075805
COST,1.5514463930539801,-0.9345579250984442
CPRT,-15.508766740789598,-14.993407918861276
CRDO,46.457608256546855,3.7347820061768218
CROX,9.401579147017532,-5.292688802688495
CRSP,-4.44788592565059,-1.5454250871901791
CRWD,7.841538290321102,4.150244864955578
CRWV,,
CSCO,8.920841099454835,-0.7575750277974386
CSGP,-0.04044597551228655,0.0
CSX,11.720701643377579,2.3498734825248517
CTAS,6.2403045885650315,1.2722151127130643
CTSH,9.673961596504613,0.6007455799404411
CYTK,-28.189544149911548,0.8973421668994499
CZR,0.5543223262774355,-2.368144007486497
DASH,6.418168345681938,2.1904760602530375
DBX,0.017516876528467732,-0.6437003041603894
DDOG,15.221216586673533,1.7636387549239507
DEFT,19.718316835298847,-9.090906772789708
DJT,-12.63243792101183,-12.774611063444638
DKNG,6.518468336638487,1.6919993423010995
DLO,28.95017542796772,-2.2100171133436506
DLTR,9.355511605646592,-0.6113182664170628
DNLI,-17.936334648621123,0.026355201937397075
DOCU,4.733948313861812,-1.0516538143446374
DVAX,-17.0774500420753,-0.7800415188244827
DXCM,19.515271562312584,0.5658325087567604
DYN,3.2654811715650394,2.3109292522696245
EA,-1.1679155715055938,-2.2059231127351175
EH,-1.374327246822528,-4.730103571009797
ENPH,-12.861629492546026,2.223102494125657
ENTG,-8.973718221745568,-1.5716845082100712
ENVX,20.223888574397773,4.069774462178187
EOSE,-6.892717938112199,-18.996667861938477
ERIC,3.3980666798915684,-2.8506269891774827
ETNB,20.074807540923565,-0.2072487552326086
ETOR,,-8.043175163797285
ETSY,22.38960605529679,10.957049975875778
EVGO,42.934780683844956,6.910565638701395
EVRG,-3.493828145086135,1.161655194669292
EWTX,-11.646340803898621,3.35234877324292
EXAS,26.45705724018518,2.1866158292512314
EXC,-6.109598099489266,0.518199673668537
EXE,11.808957439343244,1.0403028654215882
EXEL,9.220936538835176,-0.23332311571224473
EXLS,-5.136134255942426,0.28347376010695124
EXPD,2.49294674959066,-0.914769015035725
EXPE,5.037286947701429,2.560356808057309
EXPI,-4.5892660235674985,13.381208780975118
EXTR,21.732527686267233,1.1363655520317235
EYE,59.83804988975216,5.336179360798001
FA,20.780143446140602,-2.3509164842709906
FANG,4.514815982181807,0.5336489958856463
FAST,1.2473781906924593,0.6630659373025669
FITB,5.592660581619294,1.1730270890299126
FIVE,52.32573383033811,5.062255527237417
FIVN,6.722357100587227,-0.48219274918845706
FLEX,21.92777736120484,1.0376455584596391
FLYW,11.211480576866556,-5.122389792035877
FOLD,-18.81510061357395,-0.39936253120388737
FOX,8.012538671863366,-1.1185876964642791
FOXA,9.499898484157782,-0.8366662209941984
FRPT,8.580361000867825,-5.937096185374606
FRSH,1.8618795531974626,2.836636764229352
FSLR,24.209187059571793,-0.04477602909231728
FTAI,11.000853296366916,5.011950781386331
FTNT,-1.8600619366235267,-1.7274665779589433
FUTU,19.142028237108132,-1.3101211885205273
FYBR,0.7034512223868534,-0.3956356118055976
GBDC,5.900839979306865,1.8468744942211759
GDS,-1.5271651547592928,-11.843036585737558
GEHC,1.2441347607268762,2.541761704484027
GEN,8.646892194754304,0.8105200994762005
GFS,5.189619933452186,-1.5741733185535864
GGAL,-3.3112581944937247,-6.305150312409805
GH,-18.918063645757016,3.3603210729338215
