,6m,3m,1m
AAL,-23.626002684350293,-20.59233341569712,14.522619861288788
AAPL,-13.843425677923987,-17.130140634574325,-5.688257010523748
ABNB,-8.808478313310932,-7.45574324710383,5.410274576857078
ACAD,35.42925259152621,14.285710115126976,53.42465091275122
ACGL,-6.376171706062586,0.8287553683311571,3.308336998129419
ACHC,-43.11078008218722,-24.116076226254048,-2.777776192848926
ACLX,-28.72162293709406,-1.6815800026529861,-1.87836406979058
ACVA,-28.048775625013917,2.8642652996146705,12.45746037885606
ADBE,-20.449943239526373,-5.90797241115172,10.045864261156499
ADI,-2.816248738947897,-5.951792768095864,10.52226282552038
ADMA,-6.404285253724905,22.605247478203392,-15.567227069220891
ADP,7.291046157717488,3.178706518143832,7.609780284609405
ADSK,-6.841167569864889,8.508084248150286,8.492254711001596
AEP,6.236193579596736,-2.638508351278321,-4.69645272935808
AFRM,-25.133382391753077,-19.064696907294472,4.3408358526358475
AGNC,0.1595472245235249,-10.846733242504305,2.6047621505993246
AKAM,-19.679839518296923,-5.782103244771647,-5.665180364449863
AKRO,49.7639318397539,-3.135173319049963,4.319230858014979
ALAB,-8.691637370056428,31.786151607103513,50.02756908860331
ALGM,16.30093776124078,16.45740000831365,36.1824841581041
ALHC,19.652941069163553,-5.51306433557618,-16.337469617775717
ALKS,3.7806494547945393,-11.243816812757823,5.908928844427844
AMAT,-7.396891515684636,2.0226811423108235,7.005018314181497
AMD,-19.914265134668298,13.183457675808036,16.101698302465568
AMGN,-2.445278193966369,-7.643861003737527,-2.202562099714912
AMKR,-29.34784974397741,-11.588962049430437,6.446991122139606
AMZN,2.544055635462108,-2.6874891011216087,12.013338574594771
APA,-21.956411414079465,-15.430675355914063,10.833329088643904
APLS,-45.56565050989149,-30.9343892536867,-9.578335934052799
APP,20.91117302031784,18.628361580565883,43.48520921272557
ARCC,4.2775283739702745,-4.010523202717354,6.195061019462157
ARM,-6.582898444713322,-0.9150290900714633,14.410343813086326
ARWR,-11.28260104277861,-11.845583232115757,20.01439643093747
ASML,10.832891723161694,6.7604761615718045,12.962515472797248
ASO,-16.934236921331106,-17.348138166306565,8.492570958126814
ASTS,-0.743487834093279,-11.361120820226029,3.53296697336549
ATAT,23.68827653905999,4.395969811347005,31.17839882456131
AUR,-2.7891426024072516,-13.753780836590135,-13.396404489645915
AVDX,-15.487489669214078,28.881581568486837,20.47970403955555
AVGO,47.50402224150581,21.579742471747828,25.596196330438442
AVPT,1.5642143696636504,23.862112988706237,13.18042036096368
AZN,7.813482410414076,-7.387478442530317,-1.6854702173585672
BBIO,21.791103449915894,-5.114612519682853,-13.673093974011529
BCRX,48.55571140398372,25.4355472866857,22.03389520014121
BGC,-4.569366403381108,-5.9188770870818574,2.592984149133298
BIDU,2.3285388827804923,-2.1457441214829105,-3.672282492972
BIIB,-17.23269166815928,-6.505337643877891,8.490253240696807
BILI,3.7248580534298257,-6.219269322313597,9.000004359654017
BKR,-13.670387253723135,-16.092947513250433,5.689701165279739
BMRN,-10.308796508365024,-17.95953054566679,-8.337254942830151
BRKR,-36.361502591144294,-20.688831098418632,-6.6150809661372785
BSY,-2.5520570794066004,10.012774053317832,12.153985275925764
BTDR,19.059208402358056,19.252638544043833,53.39603733859286
BTSG,22.91118521116293,21.317419899521905,33.428399734559754
BULL,11.067704582173112,9.546230667683048,-7.88337105805185
BZ,39.55695340599416,10.249996185302734,15.294112220538366
CAKE,16.34594979272032,5.019294331642198,12.044952078345537
CAR,9.043290311615303,50.17086231854599,28.090256983680113
CART,5.318961520630506,11.778047192511867,15.140637916083161
CCCS,-31.907375615490487,-14.867511796221782,-6.317494856235145
CCEP,16.56456866099924,5.591869951973966,0.37861553240297896
CDNS,-6.552706636202819,16.53493550009356,-1.9547178738265072
CDW,1.0732333554413904,2.509873944814512,13.77217032369986
CEG,22.441834493724443,21.652579206183685,36.155142181161054
CELH,20.639666389016543,39.7053328323295,2.6610460258076936
CFLT,-27.334779990912427,-26.212979693827876,-1.6379647139693945
CG,-14.816232006535996,-7.665197707980307,19.09850751137652
CGNX,-25.52003243271085,-5.923854075505831,13.029210306276553
CHA,,,-9.241567827967984
CHRW,-9.964980739514456,-5.276284997785858,7.206904524995374
CHTR,2.3798980069791886,8.26525488560756,0.44914250788989935
CHX,-20.27746483658755,-17.569027574806604,1.4504782165048662
CLBT,-15.467729311445227,-8.954734895488905,-14.613441458181937
CLSK,-40.23411014306965,11.827292560313635,9.363529206596672
CMCSA,-19.738187773973397,-4.169431869165315,-0.36549706786982067
CME,29.02603752050484,13.245878752846505,3.2084650928474336
COIN,-19.7296796690394,16.232260825800417,23.52506080690258
COLB,-24.083218929300447,-11.335573629581045,5.709191268018468
COO,-21.73828301223691,-11.329938232967004,-1.8733914700620757
CORT,31.763510736469875,28.39220275398717,8.20812708865032
CORZ,-40.198234707298354,-2.956091329869798,33.70493270944983
COST,5.403873308915803,-3.5201395028694953,1.7292535479391664
CPRT,-19.262743183210784,-6.076638800581198,-15.664423643797901
CRDO,36.201404346728836,16.183400246081845,48.919864684134645
CROX,-2.7872492028959224,5.960628278381183,9.422318250363467
CRSP,-27.857143830279885,-17.213109912967226,-5.973616932955632
CRWD,27.158496898481555,18.68039004794579,7.829882591965452
CRWV,,,189.03148898720895
CSCO,8.548797194334352,-1.2166394961913414,8.972805034211023
CSGP,-7.561036107526187,-2.675411036757172,0.0539313961370596
CSX,-13.525211496298336,-1.79631017101309,11.987886739231532
CTAS,0.735922728831713,8.491907187873487,6.34953808299478
CTSH,0.6514124308862533,-2.9426904906000604,9.93320918513457
